Iteration,Loss,BPC,Time (ms),MFU
381,5.3252,7.6827,4888.65,4.8
382,5.6786,8.1925,4877.33,4.8
383,5.1262,7.3955,4880.82,4.8
384,4.8228,6.9578,4882.98,4.8
385,5.4732,7.8961,4871.73,4.8
386,5.2859,7.626,4883.05,4.8
387,5.1423,7.4188,4884.84,4.8
388,5.4779,7.903,4873.78,4.8
389,5.2158,7.5248,4879.46,4.8
390,4.8601,7.0117,4883.69,4.8
391,4.5987,6.6346,4875.23,4.8
392,5.3914,7.7782,4886.22,4.8
393,5.3956,7.7843,4882.18,4.8
394,5.6522,8.1544,4875.27,4.8
395,5.4508,7.8639,4883.74,4.8
396,4.9113,7.0856,4879.12,4.8
397,4.9645,7.1622,4875.2,4.8
398,5.1651,7.4516,4884.43,4.8
399,5.292,7.6348,4878.11,4.8
400,4.8449,6.9897,4876.25,4.8
401,5.1661,7.4531,4878.68,4.8
402,5.33,7.6895,4883.14,4.8
403,5.1003,7.3581,4869.62,4.8
404,5.3227,7.679,4881.16,4.8
405,5.6297,8.1219,4882.79,4.8
406,5.5791,8.0489,4873.6,4.8
407,5.1519,7.4326,4883.34,4.8
408,4.9304,7.113,4880.56,4.8
409,5.4503,7.8631,4868.58,4.8
410,5.439,7.8468,4879.07,4.8
411,5.3749,7.7544,4880.24,4.8
412,5.6015,8.0813,4868.44,4.8
413,5.3885,7.774,4880.44,4.8
414,5.3523,7.7218,4886.52,4.8
415,5.0389,7.2696,4859.08,4.81
416,5.6622,8.1688,4876.66,4.81
417,4.8771,7.0362,4879.08,4.81
418,4.9148,7.0906,4864.14,4.81
419,4.6275,6.676,4872.66,4.81
420,5.5738,8.0413,4876.74,4.81
421,4.9743,7.1764,4866.91,4.81
422,4.7838,6.9015,4872.17,4.81
423,4.9901,7.1992,4873.91,4.81
424,5.0282,7.2542,4862.75,4.81
425,5.0085,7.2257,4876.18,4.81
426,5.2084,7.5142,4867.84,4.81
427,5.3099,7.6606,4851.49,4.81
428,5.3777,7.7584,4876.45,4.81
429,4.9625,7.1594,4868.36,4.81
430,4.9964,7.2083,4850.66,4.81
431,5.4506,7.8635,4859.88,4.81
432,5.1239,7.3923,4861.57,4.81
433,5.2434,7.5647,4853.46,4.82
434,5.7704,8.3249,4875.77,4.82
435,5.1436,7.4206,4874.83,4.81
436,5.3705,7.748,4872.23,4.81
437,5.0288,7.2551,4873.8,4.81
438,5.2299,7.5451,4878.99,4.81
439,5.4099,7.8048,4875.89,4.81
440,4.751,6.8542,4880.02,4.81
441,5.3493,7.7174,4882.38,4.81
442,5.2714,7.6051,4873.13,4.81
443,5.5052,7.9423,4880.68,4.81
444,5.0622,7.3032,4877.66,4.81
445,4.7507,6.8538,4875.94,4.81
446,5.4802,7.9063,4871.35,4.81
447,5.2729,7.6071,4886.12,4.81
448,5.2432,7.5643,4878.21,4.81
449,5.259,7.5871,4879.4,4.81
450,5.0994,7.3568,4878.54,4.81
451,5.4236,7.8247,4875.48,4.81
452,4.5942,6.6281,4881.78,4.81
453,5.1727,7.4627,4882.33,4.81
454,5.0683,7.3121,4872.96,4.81
455,5.2655,7.5966,4879.13,4.81
456,4.727,6.8196,4879.39,4.81
457,4.8868,7.0502,4869.56,4.81
458,5.0775,7.3253,4883.79,4.81
459,5.141,7.417,4880.33,4.81
460,5.3222,7.6784,4862.28,4.81
461,4.8328,6.9722,4875.99,4.81
462,4.4012,6.3496,4873.29,4.81
463,5.2091,7.5151,4868.41,4.81
464,5.6912,8.2107,4874.22,4.81
465,5.2846,7.624,4876.31,4.81
466,4.8029,6.9291,4861.41,4.81
467,5.035,7.264,4874.73,4.81
468,5.1616,7.4466,4868.86,4.81
469,5.1839,7.4788,4855.36,4.81
470,4.6796,6.7512,4874.12,4.81
471,5.3315,7.6917,4876.07,4.81
472,5.191,7.489,4869.13,4.81
473,5.0634,7.305,4866.43,4.81
474,5.0561,7.2944,4881.28,4.81
475,5.0217,7.2448,4858.11,4.81
476,5.3578,7.7297,4861.19,4.81
477,4.4925,6.4813,4865.78,4.81
478,4.7192,6.8083,4866.73,4.81
479,4.7419,6.8412,4865.28,4.81
480,4.8448,6.9896,4867.92,4.81
481,5.2935,7.637,4862.51,4.81
482,5.3908,7.7772,4866.71,4.81
483,5.3792,7.7605,4868.76,4.81
484,5.1946,7.4943,4860.43,4.82
485,5.4492,7.8616,4865.09,4.82
486,4.8655,7.0195,4869.31,4.82
487,4.815,6.9465,4859.32,4.82
488,5.0697,7.314,4863.71,4.82
489,4.2459,6.1255,4857.37,4.82
490,5.114,7.3779,4854.32,4.82
491,5.153,7.4342,4878.83,4.82
492,4.9137,7.0889,4867.44,4.82
493,5.0839,7.3345,4855.3,4.82
494,4.6224,6.6687,4869.53,4.82
495,5.0687,7.3126,4867.44,4.82
496,4.922,7.101,4856.09,4.82
