Iteration,Loss,BPC,Time (ms),MFU
363,5.6805,8.1952,6302.84,7.57
364,5.1884,7.4852,6304.54,7.57
365,5.1775,7.4695,6350.99,7.57
366,5.7083,8.2354,6368.45,7.57
367,5.2941,7.6378,6401.57,7.57
368,4.9328,7.1166,6420.57,7.56
369,5.3924,7.7796,6457.12,7.55
370,5.1863,7.4823,6520.82,7.53
371,5.1794,7.4722,6558.55,7.51
372,5.3561,7.7272,6551.69,7.5
373,5.5845,8.0567,6533.89,7.48
374,5.7555,8.3034,6468.42,7.48
375,5.5319,7.9808,6420.6,7.48
376,5.4771,7.9018,6426.35,7.48
377,5.3911,7.7777,6416.42,7.48
378,5.0822,7.3321,6418.56,7.49
379,5.6259,8.1164,6418.39,7.49
380,5.2346,7.5519,6419.37,7.49
381,5.4507,7.8636,6416.94,7.49
382,5.0671,7.3102,6440.38,7.49
383,5.3158,7.6691,6475.03,7.48
384,5.4012,7.7923,6524.38,7.47
385,5.8436,8.4305,6565.63,7.46
386,5.3269,7.6851,6566.8,7.45
387,5.1794,7.4723,6547.78,7.44
388,4.9719,7.1729,6543.09,7.43
389,5.1209,7.3879,6549.84,7.42
390,4.8558,7.0054,6562.17,7.41
391,5.1958,7.4959,6566.49,7.4
392,4.9049,7.0763,6528.95,7.4
393,5.1153,7.3798,6505.95,7.4
394,5.292,7.6347,6487.94,7.4
395,5.3271,7.6854,6497.81,7.4
396,5.564,8.0271,6495.38,7.4
397,5.5332,7.9827,6510.83,7.4
398,5.0146,7.2345,6529.18,7.4
399,5.0201,7.2424,6573.21,7.39
400,5.0692,7.3133,6559.26,7.39
401,4.6183,6.6629,6550.49,7.38
402,5.399,7.7892,6547.5,7.38
403,5.2311,7.5469,6564.95,7.38
404,5.1436,7.4206,6587.83,7.37
405,5.4195,7.8186,6609.84,7.36
406,4.7699,6.8815,6547.52,7.36
407,4.9671,7.166,6526.87,7.36
408,5.4876,7.9169,6482.03,7.37
409,5.1277,7.3977,6458.78,7.38
410,5.215,7.5236,6467.27,7.38
411,5.4258,7.8278,6473.85,7.39
412,5.1374,7.4117,6478.64,7.39
413,5.3089,7.6592,6505.92,7.39
414,5.0116,7.2302,6528.77,7.39
415,5.2731,7.6074,6561.86,7.39
416,5.4069,7.8005,6627.18,7.37
417,5.1722,7.4619,6670.94,7.36
418,4.8691,7.0246,6653.46,7.35
419,5.2989,7.6447,6632.89,7.34
420,5.5968,8.0745,6621.74,7.33
421,5.3678,7.7441,6606.95,7.33
422,5.1656,7.4524,6602.56,7.32
423,5.3404,7.7046,6602.67,7.32
424,5.0218,7.2449,6591.04,7.32
425,4.8709,7.0272,6541.25,7.32
426,5.2582,7.586,6513.76,7.33
427,5.2945,7.6383,6508.65,7.34
428,5.0909,7.3447,6495.57,7.34
429,5.3402,7.7043,6513.43,7.35
430,5.3772,7.7577,6514.68,7.35
431,4.9255,7.106,6546.12,7.35
432,5.1901,7.4877,6576.14,7.35
433,4.8038,6.9305,6611.46,7.34
434,5.5068,7.9446,6561.48,7.34
435,5.3937,7.7815,6484.23,7.35
436,4.9446,7.1336,6432.36,7.36
437,5.2622,7.5918,6410.57,7.38
438,5.1916,7.4899,6417.73,7.39
439,4.5489,6.5626,6416.9,7.4
440,5.0848,7.3358,6419.36,7.41
441,5.0426,7.2749,6418.04,7.42
442,5.3292,7.6884,6418.08,7.43
443,4.9054,7.077,6427.51,7.43
444,5.1362,7.41,6444.53,7.44
445,5.3645,7.7394,6462.79,7.44
446,5.5236,7.9688,6491.95,7.44
447,5.2621,7.5917,6551.59,7.43
448,5.4858,7.9143,6576.89,7.42
449,5.1457,7.4237,6604.01,7.4
450,4.8759,7.0344,6509.97,7.4
451,4.6586,6.721,6420.35,7.41
452,4.9636,7.161,6408.41,7.42
453,5.0272,7.2527,6387.95,7.43
454,5.1598,7.444,6348.12,7.45
455,5.2296,7.5447,6380.45,7.46
456,4.8365,6.9776,6321.25,7.47
457,4.9524,7.1448,6350.68,7.48
458,4.8574,7.0078,6377.45,7.49
459,5.3471,7.7143,6376.75,7.5
460,5.1247,7.3933,6401.6,7.5
461,4.9829,7.1888,6418.78,7.5
462,4.9784,7.1823,6419.93,7.5
463,5.2075,7.5129,6461.83,7.49
464,4.8295,6.9675,6519.08,7.48
465,4.9612,7.1575,6551.85,7.47
466,4.434,6.3969,6599.92,7.45
467,4.8582,7.009,6616.75,7.43
468,5.2577,7.5852,6514.23,7.43
469,5.2436,7.5649,6415.98,7.44
470,5.1081,7.3694,6383.0,7.45
471,4.8877,7.0515,6314.01,7.47
472,4.6534,6.7134,6274.47,7.49
473,5.1218,7.3892,6243.99,7.51
474,5.1241,7.3925,6237.84,7.53
475,4.6873,6.7623,6233.56,7.55
476,5.0009,7.2148,6198.46,7.57
477,5.1459,7.4239,6197.21,7.59
478,5.0277,7.2535,6212.15,7.61
479,4.9629,7.16,6246.5,7.62
480,4.9232,7.1026,6252.88,7.62
481,5.2125,7.52,6245.71,7.63
482,4.8875,7.0512,6296.96,7.63
483,4.971,7.1716,6314.8,7.63
484,5.0651,7.3073,6355.35,7.63
485,4.9497,7.1408,6403.61,7.62
486,4.8094,6.9385,6429.66,7.6
487,4.7158,6.8035,6463.89,7.59
